2016/6/10_11:44:0,
N,P
365,1.1995083084452691E-218
366,2.1951002044548407E-216
367,2.0167595736168462E-214
368,1.2403255053478895E-212
369,5.74441613309007E-211
370,2.1370167156697145E-209
371,6.651888538775108E-208
372,1.781910793892527E-206
373,4.19353483916811E-205
374,8.807685894815245E-204
375,1.6715533785491653E-202
376,2.8954425844647835E-201
377,4.615775722369003E-200
378,6.819155453990449E-199
379,9.39171167707729E-198
380,1.2120020750292734E-196
381,1.4720944666337105E-195
382,1.6894147048005308E-194
383,1.8382530700620752E-193
384,1.902304781312759E-192
385,1.87741481221147E-191
386,1.771445176144422E-190
387,1.6016343257644764E-189
388,1.3904660257833594E-188
389,1.161276107810616E-187
390,9.346270467689566E-187
391,7.260380965960179E-186
392,5.451759315180523E-185
393,3.962427972539395E-184
394,2.791148540278157E-183
395,1.9077138661549837E-182
396,1.266573017588972E-181
397,8.17676072771018E-181
398,5.1379036647680486E-180
399,3.145129048540955E-179
400,1.877197442584655E-178
401,1.093327777017352E-177
402,6.218566943432057E-177
403,3.456546888896093E-176
404,1.878897275891257E-175
405,9.994316394061343E-175
406,5.2054654566851625E-174
407,2.6562952349872525E-173
408,1.3287557583475225E-172
409,6.519232356432062E-172
410,3.138702480189757E-171
411,1.4835981905659971E-170
412,6.888041478529313E-170
413,3.1425396445212163E-169
414,1.4094688460718928E-168
415,6.2172231692840025E-168
416,2.698193584578148E-167
417,1.1525190522602684E-166
418,4.847053658333222E-166
419,2.007763757220088E-165
420,8.194022866317043E-165
421,3.2958760764835846E-164
422,1.306977223115541E-163
423,5.1111439379017394E-163
424,1.9717239257303482E-162
425,7.505379201871742E-162
426,2.819773613817972E-161
427,1.0458840583596035E-160
428,3.830799802981554E-160
429,1.3859174287221145E-159
430,4.953694789311553E-159
431,1.7497012679685743E-158
432,6.108534809975337E-158
433,2.108343950503258E-157
434,7.19560153765706E-157
435,2.4288532349262937E-156
436,8.110146206621836E-156
437,2.679363256068931E-155
438,8.75971378729767E-155
439,2.8345314638503808E-154
440,9.079902115378747E-154
441,2.8798041949462176E-153
442,9.044780917265094E-153
443,2.8135582440282306E-152
444,8.669701687780428E-152
445,2.646723824894402E-151
446,8.006329485242981E-151
447,2.4001651962903558E-150
448,7.131691518017698E-150
449,2.1006179526625325E-149
450,6.134265895873176E-149
451,1.776215242641549E-148
452,5.10036383878415E-148
453,1.4525566070074686E-147
454,4.103399589439436E-147
455,1.1499650701268532E-146
456,3.197463853523446E-146
457,8.821769413804201E-146
458,2.415364137987199E-145
459,6.563463713657171E-145
460,1.7703241294092746E-144
461,4.7400875616480946E-144
462,1.260020130619474E-143
463,3.3255912205449943E-143
464,8.715700642806354E-143
465,2.268395139555973E-142
466,5.863515958372695E-142
467,1.505427042652346E-141
468,3.8393870511333834E-141
469,9.727522654762291E-141
470,2.448598628285087E-140
471,6.124124712953016E-140
472,1.522007795450084E-139
473,3.7589868177906526E-139
474,9.226559113248033E-139
475,2.2509045230770286E-138
476,5.45827448163574E-138
477,1.3157297197260495E-137
478,3.1529887801469007E-137
479,7.511962467794597E-137
480,1.779466732531759E-136
481,4.1914229668122144E-136
482,9.817420172068438E-136
483,2.2867891867394075E-135
484,5.297559078825552E-135
485,1.220601706089038E-134
486,2.7973556455250097E-134
487,6.377104360291172E-134
488,1.4461974825846069E-133
489,3.262763280113144E-133
490,7.323566365788395E-133
491,1.6355489018333163E-132
492,3.6343993240275067E-132
493,8.036258044402846E-132
494,1.768278813763714E-131
495,3.8720983104651313E-131
496,8.438465978922411E-131
497,1.83030929978894E-130
498,3.951402871042691E-130
499,8.49113225523473E-130
500,1.816304439026967E-129
501,3.867598282695148E-129
502,8.198687676323678E-129
503,1.7302858686439908E-128
504,3.635648237341083E-128
505,7.605993665691659E-128
506,1.5843805016664142E-127
507,3.286332228283068E-127
508,6.7878246566663884E-127
509,1.396160586995311E-126
510,2.859854231658741E-126
511,5.8341026325838395E-126
512,1.1853414872551235E-125
513,2.3986644709889545E-125
514,4.834696343423215E-125
